No,Features,Description
120,"var_120_tBodyAccJerk-correlation()-Y,Z","Original features: tBodyAccJerk-correlation()-Y,Z . (Feature No: 120 )"
121,var_121_tBodyGyro-mean()-X,Original features: tBodyGyro-mean()-X . (Feature No: 121 )
122,var_122_tBodyGyro-mean()-Y,Original features: tBodyGyro-mean()-Y . (Feature No: 122 )
123,var_123_tBodyGyro-mean()-Z,Original features: tBodyGyro-mean()-Z . (Feature No: 123 )
124,var_124_tBodyGyro-std()-X,Original features: tBodyGyro-std()-X . (Feature No: 124 )
125,var_125_tBodyGyro-std()-Y,Original features: tBodyGyro-std()-Y . (Feature No: 125 )
126,var_126_tBodyGyro-std()-Z,Original features: tBodyGyro-std()-Z . (Feature No: 126 )
127,var_127_tBodyGyro-mad()-X,Original features: tBodyGyro-mad()-X . (Feature No: 127 )
128,var_128_tBodyGyro-mad()-Y,Original features: tBodyGyro-mad()-Y . (Feature No: 128 )
129,var_129_tBodyGyro-mad()-Z,Original features: tBodyGyro-mad()-Z . (Feature No: 129 )
130,var_130_tBodyGyro-max()-X,Original features: tBodyGyro-max()-X . (Feature No: 130 )
131,var_131_tBodyGyro-max()-Y,Original features: tBodyGyro-max()-Y . (Feature No: 131 )
132,var_132_tBodyGyro-max()-Z,Original features: tBodyGyro-max()-Z . (Feature No: 132 )
133,var_133_tBodyGyro-min()-X,Original features: tBodyGyro-min()-X . (Feature No: 133 )
134,var_134_tBodyGyro-min()-Y,Original features: tBodyGyro-min()-Y . (Feature No: 134 )
135,var_135_tBodyGyro-min()-Z,Original features: tBodyGyro-min()-Z . (Feature No: 135 )
136,var_136_tBodyGyro-sma(),Original features: tBodyGyro-sma() . (Feature No: 136 )
137,var_137_tBodyGyro-energy()-X,Original features: tBodyGyro-energy()-X . (Feature No: 137 )
138,var_138_tBodyGyro-energy()-Y,Original features: tBodyGyro-energy()-Y . (Feature No: 138 )
139,var_139_tBodyGyro-energy()-Z,Original features: tBodyGyro-energy()-Z . (Feature No: 139 )
140,var_140_tBodyGyro-iqr()-X,Original features: tBodyGyro-iqr()-X . (Feature No: 140 )
141,var_141_tBodyGyro-iqr()-Y,Original features: tBodyGyro-iqr()-Y . (Feature No: 141 )
142,var_142_tBodyGyro-iqr()-Z,Original features: tBodyGyro-iqr()-Z . (Feature No: 142 )
143,var_143_tBodyGyro-entropy()-X,Original features: tBodyGyro-entropy()-X . (Feature No: 143 )
144,var_144_tBodyGyro-entropy()-Y,Original features: tBodyGyro-entropy()-Y . (Feature No: 144 )
145,var_145_tBodyGyro-entropy()-Z,Original features: tBodyGyro-entropy()-Z . (Feature No: 145 )
146,"var_146_tBodyGyro-arCoeff()-X,1","Original features: tBodyGyro-arCoeff()-X,1 . (Feature No: 146 )"
147,"var_147_tBodyGyro-arCoeff()-X,2","Original features: tBodyGyro-arCoeff()-X,2 . (Feature No: 147 )"
148,"var_148_tBodyGyro-arCoeff()-X,3","Original features: tBodyGyro-arCoeff()-X,3 . (Feature No: 148 )"
149,"var_149_tBodyGyro-arCoeff()-X,4","Original features: tBodyGyro-arCoeff()-X,4 . (Feature No: 149 )"
150,"var_150_tBodyGyro-arCoeff()-Y,1","Original features: tBodyGyro-arCoeff()-Y,1 . (Feature No: 150 )"
151,"var_151_tBodyGyro-arCoeff()-Y,2","Original features: tBodyGyro-arCoeff()-Y,2 . (Feature No: 151 )"
152,"var_152_tBodyGyro-arCoeff()-Y,3","Original features: tBodyGyro-arCoeff()-Y,3 . (Feature No: 152 )"
153,"var_153_tBodyGyro-arCoeff()-Y,4","Original features: tBodyGyro-arCoeff()-Y,4 . (Feature No: 153 )"
154,"var_154_tBodyGyro-arCoeff()-Z,1","Original features: tBodyGyro-arCoeff()-Z,1 . (Feature No: 154 )"
155,"var_155_tBodyGyro-arCoeff()-Z,2","Original features: tBodyGyro-arCoeff()-Z,2 . (Feature No: 155 )"
156,"var_156_tBodyGyro-arCoeff()-Z,3","Original features: tBodyGyro-arCoeff()-Z,3 . (Feature No: 156 )"
157,"var_157_tBodyGyro-arCoeff()-Z,4","Original features: tBodyGyro-arCoeff()-Z,4 . (Feature No: 157 )"
158,"var_158_tBodyGyro-correlation()-X,Y","Original features: tBodyGyro-correlation()-X,Y . (Feature No: 158 )"
159,"var_159_tBodyGyro-correlation()-X,Z","Original features: tBodyGyro-correlation()-X,Z . (Feature No: 159 )"
160,"var_160_tBodyGyro-correlation()-Y,Z","Original features: tBodyGyro-correlation()-Y,Z . (Feature No: 160 )"
161,var_161_tBodyGyroJerk-mean()-X,Original features: tBodyGyroJerk-mean()-X . (Feature No: 161 )
162,var_162_tBodyGyroJerk-mean()-Y,Original features: tBodyGyroJerk-mean()-Y . (Feature No: 162 )
163,var_163_tBodyGyroJerk-mean()-Z,Original features: tBodyGyroJerk-mean()-Z . (Feature No: 163 )
164,var_164_tBodyGyroJerk-std()-X,Original features: tBodyGyroJerk-std()-X . (Feature No: 164 )
165,var_165_tBodyGyroJerk-std()-Y,Original features: tBodyGyroJerk-std()-Y . (Feature No: 165 )
166,var_166_tBodyGyroJerk-std()-Z,Original features: tBodyGyroJerk-std()-Z . (Feature No: 166 )
167,var_167_tBodyGyroJerk-mad()-X,Original features: tBodyGyroJerk-mad()-X . (Feature No: 167 )
168,var_168_tBodyGyroJerk-mad()-Y,Original features: tBodyGyroJerk-mad()-Y . (Feature No: 168 )
169,var_169_tBodyGyroJerk-mad()-Z,Original features: tBodyGyroJerk-mad()-Z . (Feature No: 169 )
170,var_170_tBodyGyroJerk-max()-X,Original features: tBodyGyroJerk-max()-X . (Feature No: 170 )
171,var_171_tBodyGyroJerk-max()-Y,Original features: tBodyGyroJerk-max()-Y . (Feature No: 171 )
172,var_172_tBodyGyroJerk-max()-Z,Original features: tBodyGyroJerk-max()-Z . (Feature No: 172 )
173,var_173_tBodyGyroJerk-min()-X,Original features: tBodyGyroJerk-min()-X . (Feature No: 173 )
174,var_174_tBodyGyroJerk-min()-Y,Original features: tBodyGyroJerk-min()-Y . (Feature No: 174 )
175,var_175_tBodyGyroJerk-min()-Z,Original features: tBodyGyroJerk-min()-Z . (Feature No: 175 )
176,var_176_tBodyGyroJerk-sma(),Original features: tBodyGyroJerk-sma() . (Feature No: 176 )
177,var_177_tBodyGyroJerk-energy()-X,Original features: tBodyGyroJerk-energy()-X . (Feature No: 177 )
178,var_178_tBodyGyroJerk-energy()-Y,Original features: tBodyGyroJerk-energy()-Y . (Feature No: 178 )
179,var_179_tBodyGyroJerk-energy()-Z,Original features: tBodyGyroJerk-energy()-Z . (Feature No: 179 )
180,var_180_tBodyGyroJerk-iqr()-X,Original features: tBodyGyroJerk-iqr()-X . (Feature No: 180 )
181,var_181_tBodyGyroJerk-iqr()-Y,Original features: tBodyGyroJerk-iqr()-Y . (Feature No: 181 )
182,var_182_tBodyGyroJerk-iqr()-Z,Original features: tBodyGyroJerk-iqr()-Z . (Feature No: 182 )
183,var_183_tBodyGyroJerk-entropy()-X,Original features: tBodyGyroJerk-entropy()-X . (Feature No: 183 )
184,var_184_tBodyGyroJerk-entropy()-Y,Original features: tBodyGyroJerk-entropy()-Y . (Feature No: 184 )
185,var_185_tBodyGyroJerk-entropy()-Z,Original features: tBodyGyroJerk-entropy()-Z . (Feature No: 185 )
186,"var_186_tBodyGyroJerk-arCoeff()-X,1","Original features: tBodyGyroJerk-arCoeff()-X,1 . (Feature No: 186 )"
187,"var_187_tBodyGyroJerk-arCoeff()-X,2","Original features: tBodyGyroJerk-arCoeff()-X,2 . (Feature No: 187 )"
188,"var_188_tBodyGyroJerk-arCoeff()-X,3","Original features: tBodyGyroJerk-arCoeff()-X,3 . (Feature No: 188 )"
189,"var_189_tBodyGyroJerk-arCoeff()-X,4","Original features: tBodyGyroJerk-arCoeff()-X,4 . (Feature No: 189 )"
190,"var_190_tBodyGyroJerk-arCoeff()-Y,1","Original features: tBodyGyroJerk-arCoeff()-Y,1 . (Feature No: 190 )"
191,"var_191_tBodyGyroJerk-arCoeff()-Y,2","Original features: tBodyGyroJerk-arCoeff()-Y,2 . (Feature No: 191 )"
192,"var_192_tBodyGyroJerk-arCoeff()-Y,3","Original features: tBodyGyroJerk-arCoeff()-Y,3 . (Feature No: 192 )"
193,"var_193_tBodyGyroJerk-arCoeff()-Y,4","Original features: tBodyGyroJerk-arCoeff()-Y,4 . (Feature No: 193 )"
194,"var_194_tBodyGyroJerk-arCoeff()-Z,1","Original features: tBodyGyroJerk-arCoeff()-Z,1 . (Feature No: 194 )"
195,"var_195_tBodyGyroJerk-arCoeff()-Z,2","Original features: tBodyGyroJerk-arCoeff()-Z,2 . (Feature No: 195 )"
196,"var_196_tBodyGyroJerk-arCoeff()-Z,3","Original features: tBodyGyroJerk-arCoeff()-Z,3 . (Feature No: 196 )"
197,"var_197_tBodyGyroJerk-arCoeff()-Z,4","Original features: tBodyGyroJerk-arCoeff()-Z,4 . (Feature No: 197 )"
198,"var_198_tBodyGyroJerk-correlation()-X,Y","Original features: tBodyGyroJerk-correlation()-X,Y . (Feature No: 198 )"
199,"var_199_tBodyGyroJerk-correlation()-X,Z","Original features: tBodyGyroJerk-correlation()-X,Z . (Feature No: 199 )"
200,"var_200_tBodyGyroJerk-correlation()-Y,Z","Original features: tBodyGyroJerk-correlation()-Y,Z . (Feature No: 200 )"
201,var_201_tBodyAccMag-mean(),Original features: tBodyAccMag-mean() . (Feature No: 201 )
202,var_202_tBodyAccMag-std(),Original features: tBodyAccMag-std() . (Feature No: 202 )
203,var_203_tBodyAccMag-mad(),Original features: tBodyAccMag-mad() . (Feature No: 203 )
204,var_204_tBodyAccMag-max(),Original features: tBodyAccMag-max() . (Feature No: 204 )
205,var_205_tBodyAccMag-min(),Original features: tBodyAccMag-min() . (Feature No: 205 )
206,var_206_tBodyAccMag-sma(),Original features: tBodyAccMag-sma() . (Feature No: 206 )
207,var_207_tBodyAccMag-energy(),Original features: tBodyAccMag-energy() . (Feature No: 207 )
208,var_208_tBodyAccMag-iqr(),Original features: tBodyAccMag-iqr() . (Feature No: 208 )
209,var_209_tBodyAccMag-entropy(),Original features: tBodyAccMag-entropy() . (Feature No: 209 )
210,var_210_tBodyAccMag-arCoeff()1,Original features: tBodyAccMag-arCoeff()1 . (Feature No: 210 )
211,var_211_tBodyAccMag-arCoeff()2,Original features: tBodyAccMag-arCoeff()2 . (Feature No: 211 )
212,var_212_tBodyAccMag-arCoeff()3,Original features: tBodyAccMag-arCoeff()3 . (Feature No: 212 )
213,var_213_tBodyAccMag-arCoeff()4,Original features: tBodyAccMag-arCoeff()4 . (Feature No: 213 )
214,var_214_tGravityAccMag-mean(),Original features: tGravityAccMag-mean() . (Feature No: 214 )
215,var_215_tGravityAccMag-std(),Original features: tGravityAccMag-std() . (Feature No: 215 )
216,var_216_tGravityAccMag-mad(),Original features: tGravityAccMag-mad() . (Feature No: 216 )
217,var_217_tGravityAccMag-max(),Original features: tGravityAccMag-max() . (Feature No: 217 )
218,var_218_tGravityAccMag-min(),Original features: tGravityAccMag-min() . (Feature No: 218 )
219,var_219_tGravityAccMag-sma(),Original features: tGravityAccMag-sma() . (Feature No: 219 )
220,var_220_tGravityAccMag-energy(),Original features: tGravityAccMag-energy() . (Feature No: 220 )
221,var_221_tGravityAccMag-iqr(),Original features: tGravityAccMag-iqr() . (Feature No: 221 )
222,var_222_tGravityAccMag-entropy(),Original features: tGravityAccMag-entropy() . (Feature No: 222 )
223,var_223_tGravityAccMag-arCoeff()1,Original features: tGravityAccMag-arCoeff()1 . (Feature No: 223 )
224,var_224_tGravityAccMag-arCoeff()2,Original features: tGravityAccMag-arCoeff()2 . (Feature No: 224 )
225,var_225_tGravityAccMag-arCoeff()3,Original features: tGravityAccMag-arCoeff()3 . (Feature No: 225 )
226,var_226_tGravityAccMag-arCoeff()4,Original features: tGravityAccMag-arCoeff()4 . (Feature No: 226 )
227,var_227_tBodyAccJerkMag-mean(),Original features: tBodyAccJerkMag-mean() . (Feature No: 227 )
228,var_228_tBodyAccJerkMag-std(),Original features: tBodyAccJerkMag-std() . (Feature No: 228 )
229,var_229_tBodyAccJerkMag-mad(),Original features: tBodyAccJerkMag-mad() . (Feature No: 229 )
230,var_230_tBodyAccJerkMag-max(),Original features: tBodyAccJerkMag-max() . (Feature No: 230 )
231,var_231_tBodyAccJerkMag-min(),Original features: tBodyAccJerkMag-min() . (Feature No: 231 )
232,var_232_tBodyAccJerkMag-sma(),Original features: tBodyAccJerkMag-sma() . (Feature No: 232 )
233,var_233_tBodyAccJerkMag-energy(),Original features: tBodyAccJerkMag-energy() . (Feature No: 233 )
234,var_234_tBodyAccJerkMag-iqr(),Original features: tBodyAccJerkMag-iqr() . (Feature No: 234 )
235,var_235_tBodyAccJerkMag-entropy(),Original features: tBodyAccJerkMag-entropy() . (Feature No: 235 )
236,var_236_tBodyAccJerkMag-arCoeff()1,Original features: tBodyAccJerkMag-arCoeff()1 . (Feature No: 236 )
237,var_237_tBodyAccJerkMag-arCoeff()2,Original features: tBodyAccJerkMag-arCoeff()2 . (Feature No: 237 )
238,var_238_tBodyAccJerkMag-arCoeff()3,Original features: tBodyAccJerkMag-arCoeff()3 . (Feature No: 238 )
239,var_239_tBodyAccJerkMag-arCoeff()4,Original features: tBodyAccJerkMag-arCoeff()4 . (Feature No: 239 )
240,var_240_tBodyGyroMag-mean(),Original features: tBodyGyroMag-mean() . (Feature No: 240 )
241,var_241_tBodyGyroMag-std(),Original features: tBodyGyroMag-std() . (Feature No: 241 )
242,var_242_tBodyGyroMag-mad(),Original features: tBodyGyroMag-mad() . (Feature No: 242 )
243,var_243_tBodyGyroMag-max(),Original features: tBodyGyroMag-max() . (Feature No: 243 )
244,var_244_tBodyGyroMag-min(),Original features: tBodyGyroMag-min() . (Feature No: 244 )
245,var_245_tBodyGyroMag-sma(),Original features: tBodyGyroMag-sma() . (Feature No: 245 )
246,var_246_tBodyGyroMag-energy(),Original features: tBodyGyroMag-energy() . (Feature No: 246 )
247,var_247_tBodyGyroMag-iqr(),Original features: tBodyGyroMag-iqr() . (Feature No: 247 )
248,var_248_tBodyGyroMag-entropy(),Original features: tBodyGyroMag-entropy() . (Feature No: 248 )
249,var_249_tBodyGyroMag-arCoeff()1,Original features: tBodyGyroMag-arCoeff()1 . (Feature No: 249 )
250,var_250_tBodyGyroMag-arCoeff()2,Original features: tBodyGyroMag-arCoeff()2 . (Feature No: 250 )
251,var_251_tBodyGyroMag-arCoeff()3,Original features: tBodyGyroMag-arCoeff()3 . (Feature No: 251 )
